CoC_Number,CoC_Name,CoC_Category,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_TH_Homeless,Sheltered_SH_Homeless,Sheltered_Total_Homeless,Unsheltered_Homeless,Homeless_Individuals,Sheltered_ES_Homeless_Individuals,Sheltered_TH_Homeless_Individuals,Sheltered_SH_Homeless_Individuals,Sheltered_Total_Homeless_Individuals,Unsheltered_Homeless_Individuals,Homeless_People_in_Families,Sheltered_ES_Homeless_People_in_Families,Sheltered_TH_Homeless_People_in_Families,Sheltered_Total_Homeless_People_in_Families,Unsheltered_Homeless_People_in_Families,Homeless_Family_Households,Sheltered_ES_Homeless_Family_Households,Sheltered_TH_Homeless_Family_Households,Sheltered_Total_Homeless_Family_Households,Unsheltered_Homeless_Family_Households,Chronically_Homeless,Sheltered_ES_Chronically_Homeless,Sheltered_SH_Chronically_Homeless,Sheltered_Total_Chronically_Homeless,Unsheltered_Chronically_Homeless,Chronically_Homeless_Individuals,Sheltered_ES_Chronically_Homeless_Individuals,Sheltered_SH_Chronically_Homeless_Individuals,Sheltered_Total_Chronically_Homeless_Individuals,Unsheltered_Chronically_Homeless_Individuals,Chronically_Homeless_People_in_Families,Sheltered_ES_Chronically_Homeless_People_in_Families,Sheltered_Total_Chronically_Homeless_People_in_Families,Unsheltered_Chronically_Homeless_People_in_Families,Homeless_Veterans,Sheltered_ES_Homeless_Veterans,Sheltered_TH_Homeless_Veterans,Sheltered_SH_Homeless_Veterans,Sheltered_Total_Homeless_Veterans,Unsheltered_Homeless_Veterans,Count_Year
CA-502,"Oakland, Berkeley/Alameda County CoC",,4272,895,1040,0,1935,2337,3162,604,439,0,1043,2119,1110,291,601,892,218,348,110,196,306,42,1094,240,0,240,854,959,199,0,199,760,135,41,41,94,538,40,145,0,185,353,2014
CA-502,"Oakland, Berkeley/Alameda County CoC",,4264,914,1013,0,1927,2337,2922,548,255,0,803,2119,1342,366,758,1124,218,462,126,294,420,42,1054,200,0,200,854,931,171,0,171,760,123,29,29,94,492,,,,139,353,2013
CA-502,"Oakland, Berkeley/Alameda County CoC",,4257,866,1179,0,2045,2212,3208,546,590,0,1136,2072,1049,320,589,909,140,332,111,197,308,24,1092,108,0,108,984,1041,99,0,99,942,51,9,9,42,440,,,,95,345,2012
CA-503,Sacramento City & County CoC,,2449,774,889,0,1663,786,1683,437,465,0,902,781,766,337,424,761,5,248,97,150,247,1,422,137,0,137,285,420,135,0,135,285,2,2,2,0,277,55,86,0,141,136,2014
CA-503,Sacramento City & County CoC,,2538,808,944,0,1752,786,1737,435,521,0,956,781,801,373,423,796,5,249,108,140,248,1,440,155,0,155,285,432,147,0,147,285,8,8,8,0,302,,,,166,136,2013
CA-503,Sacramento City & County CoC,,2812,839,1018,0,1857,955,1985,477,558,0,1035,950,827,362,460,822,5,237,90,145,235,2,463,221,0,221,242,454,212,0,212,242,9,9,9,0,329,,,,148,181,2012
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",,4266,570,387,0,957,3309,3816,393,168,0,561,3255,450,177,219,396,54,119,43,60,103,16,1260,226,0,226,1034,1219,190,0,190,1029,41,36,36,5,421,48,30,0,78,343,2014
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",,4280,504,467,0,971,3309,3829,374,200,0,574,3255,451,130,267,397,54,152,51,85,136,16,1168,134,0,134,1034,1148,119,0,119,1029,20,15,15,5,400,,,,57,343,2013
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",,4483,530,587,0,1117,3366,3890,362,202,0,564,3326,593,168,385,553,40,186,49,125,174,12,1032,77,0,77,955,1014,60,0,60,954,18,17,17,1,384,,,,57,327,2012
CA-505,Richmond/Contra Costa County CoC,,2009,423,257,0,680,1329,1660,274,57,0,331,1329,349,149,200,349,0,111,47,64,111,0,775,181,0,181,594,716,143,0,143,573,59,38,38,21,176,27,14,0,41,135,2014
CA-505,Richmond/Contra Costa County CoC,,2000,414,257,0,671,1329,1703,300,74,0,374,1329,297,114,183,297,0,102,41,61,102,0,754,160,0,160,594,714,141,0,141,573,40,19,19,21,188,,,,53,135,2013
CA-505,Richmond/Contra Costa County CoC,,2386,483,413,0,896,1490,1960,315,158,0,473,1487,426,168,255,423,3,137,51,85,136,1,753,220,0,220,533,721,193,0,193,528,32,27,27,5,82,,,,74,8,2012
CA-506,"Salinas/Monterey, San Benito Counties CoC",,2962,287,469,0,756,2206,2286,170,191,0,361,1925,676,117,278,395,281,275,38,111,149,126,1089,229,0,229,860,925,144,0,144,781,164,85,85,79,238,23,54,0,77,161,2014
CA-506,"Salinas/Monterey, San Benito Counties CoC",,2955,355,394,0,749,2206,2292,194,173,0,367,1925,663,161,221,382,281,247,44,77,121,126,1038,178,0,178,860,866,85,0,85,781,172,93,93,79,250,,,,89,161,2013
CA-506,"Salinas/Monterey, San Benito Counties CoC",,2673,267,495,0,762,1911,1761,0,4,0,4,1757,912,267,491,758,154,153,39,83,122,31,822,43,0,43,779,794,43,0,43,751,28,0,0,28,290,,,,46,244,2012
CA-507,Marin County CoC,,679,208,293,0,501,178,460,179,103,0,282,178,219,29,190,219,0,66,9,57,66,0,62,18,0,18,44,62,18,0,18,44,0,0,0,0,52,28,6,0,34,18,2014
CA-507,Marin County CoC,,676,188,317,0,505,171,438,148,119,0,267,171,238,40,198,238,0,78,10,68,78,0,89,26,0,26,63,87,24,0,24,63,2,2,2,0,54,,,,28,26,2013
CA-507,Marin County CoC,,725,201,295,0,496,229,516,157,130,0,287,229,209,44,165,209,0,80,14,66,80,0,163,62,0,62,101,163,62,0,62,101,0,0,0,0,51,,,,26,25,2012
CA-508,Watsonville/Santa Cruz City & County CoC,,3529,361,273,0,634,2895,2996,240,62,0,302,2694,533,121,211,332,201,155,41,53,94,61,981,66,0,66,915,940,57,0,57,883,41,9,9,32,393,45,5,0,50,343,2014
CA-508,Watsonville/Santa Cruz City & County CoC,,3536,402,239,0,641,2895,2992,253,45,0,298,2694,544,149,194,343,201,165,39,65,104,61,989,74,0,74,915,957,74,0,74,883,32,0,0,32,395,,,,52,343,2013
CA-508,Watsonville/Santa Cruz City & County CoC,,2735,370,240,0,610,2125,2345,220,60,0,280,2065,390,150,180,330,60,123,57,51,108,15,990,43,0,43,947,967,36,0,36,931,23,7,7,16,271,,,,26,245,2012
CA-509,Mendocino County CoC,,1404,117,69,0,186,1218,1256,82,36,0,118,1138,148,35,33,68,80,43,13,12,25,18,221,23,0,23,198,167,19,0,19,148,54,4,4,50,46,5,1,0,6,40,2014
CA-509,Mendocino County CoC,,1392,106,68,0,174,1218,1267,91,38,0,129,1138,125,15,30,45,80,34,4,12,16,18,227,29,0,29,198,171,23,0,23,148,56,6,6,50,55,,,,15,40,2013
CA-509,Mendocino County CoC,,1441,97,30,0,127,1314,1347,78,15,0,93,1254,94,19,15,34,60,32,5,7,12,20,319,7,0,7,312,267,7,0,7,260,52,0,0,52,84,,,,10,74,2012
CA-510,"Turlock, Modesto/Stanislaus County CoC",,1156,447,266,0,713,443,824,309,178,0,487,337,332,138,88,226,106,114,44,32,76,38,146,83,0,83,63,123,69,0,69,54,23,14,14,9,69,35,6,0,41,28,2014
CA-510,"Turlock, Modesto/Stanislaus County CoC",,1201,337,219,0,556,645,941,284,175,0,459,482,260,53,44,97,163,74,17,16,33,41,205,65,0,65,140,127,61,0,61,66,78,4,4,74,87,,,,44,43,2013
CA-510,"Turlock, Modesto/Stanislaus County CoC",,1470,322,357,0,679,791,861,157,105,0,262,599,609,165,252,417,192,188,55,84,139,49,306,166,0,166,140,288,166,0,166,122,18,0,0,18,49,,,,19,30,2012
CA-511,Stockton/San Joaquin County CoC,,1588,744,581,0,1325,263,713,397,78,0,475,238,875,347,503,850,25,258,109,141,250,8,116,49,0,49,67,107,43,0,43,64,9,6,6,3,87,33,32,0,65,22,2014
CA-511,Stockton/San Joaquin County CoC,,1541,760,518,0,1278,263,794,480,76,0,556,238,747,280,442,722,25,230,93,129,222,8,204,137,0,137,67,178,114,0,114,64,26,23,23,3,83,,,,61,22,2013
CA-511,Stockton/San Joaquin County CoC,,1569,819,503,0,1322,247,739,470,47,0,517,222,830,349,456,805,25,254,106,141,247,7,236,125,0,125,111,202,108,0,108,94,34,17,17,17,80,,,,60,20,2012
CA-512,Daly/San Mateo County CoC,,2024,271,454,0,725,1299,1363,170,138,0,308,1055,661,101,316,417,244,192,32,95,127,65,897,40,0,40,857,721,35,0,35,686,176,5,5,171,225,86,8,0,94,131,2014
