CoC_Number,CoC_Name,CoC_Category,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_TH_Homeless,Sheltered_SH_Homeless,Sheltered_Total_Homeless,Unsheltered_Homeless,Homeless_Individuals,Sheltered_ES_Homeless_Individuals,Sheltered_TH_Homeless_Individuals,Sheltered_SH_Homeless_Individuals,Sheltered_Total_Homeless_Individuals,Unsheltered_Homeless_Individuals,Homeless_People_in_Families,Sheltered_ES_Homeless_People_in_Families,Sheltered_TH_Homeless_People_in_Families,Sheltered_Total_Homeless_People_in_Families,Unsheltered_Homeless_People_in_Families,Homeless_Family_Households,Sheltered_ES_Homeless_Family_Households,Sheltered_TH_Homeless_Family_Households,Sheltered_Total_Homeless_Family_Households,Unsheltered_Homeless_Family_Households,Chronically_Homeless,Sheltered_ES_Chronically_Homeless,Sheltered_SH_Chronically_Homeless,Sheltered_Total_Chronically_Homeless,Unsheltered_Chronically_Homeless,Chronically_Homeless_Individuals,Sheltered_ES_Chronically_Homeless_Individuals,Sheltered_SH_Chronically_Homeless_Individuals,Sheltered_Total_Chronically_Homeless_Individuals,Unsheltered_Chronically_Homeless_Individuals,Chronically_Homeless_People_in_Families,Sheltered_ES_Chronically_Homeless_People_in_Families,Sheltered_Total_Chronically_Homeless_People_in_Families,Unsheltered_Chronically_Homeless_People_in_Families,Homeless_Veterans,Sheltered_ES_Homeless_Veterans,Sheltered_TH_Homeless_Veterans,Sheltered_SH_Homeless_Veterans,Sheltered_Total_Homeless_Veterans,Unsheltered_Homeless_Veterans,Count_Year
MA-506,Worcester City & County CoC,,1657,1043,546,13,1602,55,586,204,324,13,541,45,1071,839,222,1061,10,323,237,82,319,4,69,48,0,48,21,58,37,0,37,21,11,11,11,0,184,,,,175,9,2013
MA-506,Worcester City & County CoC,,1572,968,518,13,1499,73,551,183,285,13,481,70,1021,785,233,1018,3,333,245,87,332,1,35,35,0,35,0,23,23,0,23,0,12,12,12,0,123,,,,119,4,2012
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",,753,386,338,0,724,29,506,170,307,0,477,29,247,216,31,247,0,84,69,15,84,0,153,136,0,136,17,112,95,0,95,17,41,41,41,0,256,22,234,0,256,0,2014
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",,678,280,358,0,638,40,493,137,319,0,456,37,185,143,39,182,3,71,55,15,70,1,117,85,0,85,32,93,64,0,64,29,24,21,21,3,244,,,,244,0,2013
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",,717,305,353,0,658,59,484,109,316,0,425,59,233,196,37,233,0,88,70,18,88,0,155,125,0,125,30,66,36,0,36,30,89,89,89,0,247,,,,244,3,2012
MA-508,Lowell CoC,,588,434,119,0,553,35,216,146,35,0,181,35,372,288,84,372,0,117,90,27,117,0,83,71,0,71,12,45,33,0,33,12,38,38,38,0,47,10,35,0,45,2,2014
MA-508,Lowell CoC,,559,428,106,0,534,25,218,154,39,0,193,25,341,274,67,341,0,117,89,28,117,0,67,47,0,47,20,34,14,0,14,20,33,33,33,0,48,,,,48,0,2013
MA-508,Lowell CoC,,534,400,106,0,506,28,189,132,29,0,161,28,345,268,77,345,0,117,89,28,117,0,77,68,0,68,9,53,44,0,44,9,24,24,24,0,30,,,,30,0,2012
MA-509,Cambridge CoC,,551,297,207,0,504,47,370,223,100,0,323,47,181,74,107,181,0,65,30,35,65,0,140,109,0,109,31,121,90,0,90,31,19,19,19,0,20,14,3,0,17,3,2014
MA-509,Cambridge CoC,,535,264,202,0,466,69,366,205,92,0,297,69,169,59,110,169,0,59,24,35,59,0,174,120,0,120,54,167,113,0,113,54,7,7,7,0,21,,,,16,5,2013
MA-509,Cambridge CoC,,485,260,153,0,413,72,357,192,93,0,285,72,128,68,60,128,0,46,25,21,46,0,191,132,0,132,59,191,132,0,132,59,0,0,0,0,62,,,,55,7,2012
MA-510,"Gloucester, Haverhill, Salem/Essex County CoC",,1487,1290,112,11,1413,74,309,185,39,11,235,74,1178,1105,73,1178,0,394,362,32,394,0,194,165,6,171,23,162,133,6,139,23,32,32,32,0,34,8,25,1,34,0,2014
MA-510,"Gloucester, Haverhill, Salem/Essex County CoC",,1286,1120,119,11,1250,36,250,165,38,11,214,36,1036,955,81,1036,0,362,329,33,362,0,146,119,8,127,19,113,86,8,94,19,33,33,33,0,15,,,,13,2,2013
MA-510,"Gloucester, Haverhill, Salem/Essex County CoC",,993,839,106,10,955,38,266,179,39,10,228,38,727,660,67,727,0,295,266,29,295,0,145,105,10,115,30,131,91,10,101,30,14,14,14,0,70,,,,68,2,2012
MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",,1643,1508,95,0,1603,40,404,315,49,0,364,40,1239,1193,46,1239,0,455,436,19,455,0,167,149,0,149,18,100,82,0,82,18,67,67,67,0,82,33,49,0,82,0,2014
MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",,1690,1528,113,0,1641,49,458,352,57,0,409,49,1232,1176,56,1232,0,413,393,20,413,0,171,153,0,153,18,134,116,0,116,18,37,37,37,0,94,,,,94,0,2013
MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",,1424,1267,97,0,1364,60,407,296,51,0,347,60,1017,971,46,1017,0,346,329,17,346,0,134,113,0,113,21,111,90,0,90,21,23,23,23,0,92,,,,90,2,2012
MA-515,Fall River CoC,,354,159,117,0,276,78,213,71,64,0,135,78,141,88,53,141,0,48,30,18,48,0,66,56,0,56,10,58,48,0,48,10,8,8,8,0,9,5,0,0,5,4,2014
MA-515,Fall River CoC,,235,122,98,0,220,15,113,50,52,0,102,11,122,72,46,118,4,41,22,18,40,1,37,33,0,33,4,35,31,0,31,4,2,2,2,0,2,,,,2,0,2013
MA-515,Fall River CoC,,307,161,124,0,285,22,121,47,52,0,99,22,186,114,72,186,0,57,33,24,57,0,25,19,0,19,6,25,19,0,19,6,0,0,0,0,5,,,,2,3,2012
MA-516,Massachusetts Balance of State CoC,,3900,3373,453,12,3838,62,530,362,94,12,468,62,3370,3011,359,3370,0,1115,991,124,1115,0,943,878,12,890,53,154,89,12,101,53,789,789,789,0,83,57,25,0,82,1,2014
MA-516,Massachusetts Balance of State CoC,,2652,2070,513,12,2595,57,424,222,133,12,367,57,2228,1848,380,2228,0,904,769,135,904,0,179,143,0,143,36,119,83,0,83,36,60,60,60,0,63,,,,56,7,2013
MA-516,Massachusetts Balance of State CoC,,1872,1318,505,12,1835,37,354,202,105,12,319,35,1518,1116,400,1516,2,572,419,152,571,1,146,133,0,133,13,97,84,0,84,13,49,49,49,0,66,,,,64,2,2012
MA-517,Somerville CoC,,154,94,56,0,150,4,97,51,42,0,93,4,57,43,14,57,0,22,17,5,22,0,28,24,0,24,4,25,21,0,21,4,3,3,3,0,15,1,14,0,15,0,2014
MA-517,Somerville CoC,,169,99,61,0,160,9,95,51,35,0,86,9,74,48,26,74,0,26,18,8,26,0,36,34,0,34,2,34,32,0,32,2,2,2,2,0,1,,,,1,0,2013
MA-517,Somerville CoC,,145,102,34,0,136,9,90,59,22,0,81,9,55,43,12,55,0,24,21,3,24,0,41,37,0,37,4,41,37,0,37,4,0,0,0,0,9,,,,9,0,2012
MA-519,"Attleboro, Taunton/Bristol County CoC",,222,151,57,0,208,14,52,25,13,0,38,14,170,126,44,170,0,52,32,20,52,0,15,9,0,9,6,13,7,0,7,6,2,2,2,0,3,1,2,0,3,0,2014
MA-519,"Attleboro, Taunton/Bristol County CoC",,251,160,61,0,221,30,69,21,25,0,46,23,182,139,36,175,7,50,33,15,48,2,10,1,0,1,9,10,1,0,1,9,0,0,0,0,2,,,,1,1,2013
MA-519,"Attleboro, Taunton/Bristol County CoC",,249,148,75,0,223,26,73,28,19,0,47,26,176,120,56,176,0,56,36,20,56,0,7,0,0,0,7,7,0,0,0,7,0,0,0,0,1,,,,1,0,2012
MD-500,Cumberland/Allegany County CoC,,120,65,40,0,105,15,48,34,3,0,37,11,72,31,37,68,4,23,9,13,22,1,19,15,0,15,4,5,5,0,5,0,14,10,10,4,11,9,1,0,10,1,2014
MD-500,Cumberland/Allegany County CoC,,76,20,44,0,64,12,34,16,6,0,22,12,42,4,38,42,0,14,2,12,14,0,8,2,0,2,6,4,1,0,1,3,4,1,1,3,4,,,,4,0,2013
MD-500,Cumberland/Allegany County CoC,,110,51,45,0,96,14,89,34,41,0,75,14,21,17,4,21,0,8,6,2,8,0,22,8,0,8,14,11,4,0,4,7,11,4,4,7,6,,,,6,0,2012
MD-501,Baltimore CoC,,2567,956,1279,37,2272,295,1977,788,897,37,1722,255,590,168,382,550,40,206,56,136,192,14,491,374,28,402,89,475,371,28,399,76,16,3,3,13,305,85,199,0,284,21,2014
MD-501,Baltimore CoC,,2638,1061,1242,40,2343,295,1988,820,873,40,1733,255,650,241,369,610,40,215,76,125,201,14,226,110,27,137,89,211,108,27,135,76,15,2,2,13,293,,,,272,21,2013
MD-501,Baltimore CoC,,3854,867,1154,38,2059,1795,2926,711,795,38,1544,1382,928,156,359,515,413,320,51,112,163,157,308,0,0,0,308,308,0,0,0,308,0,0,0,0,274,,,,248,26,2012
MD-502,Harford County CoC,,223,141,76,0,217,6,80,55,19,0,74,6,143,86,57,143,0,46,27,19,46,0,82,79,0,79,3,39,36,0,36,3,43,43,43,0,8,2,5,0,7,1,2014
MD-502,Harford County CoC,,166,95,63,0,158,8,66,37,21,0,58,8,100,58,42,100,0,35,18,17,35,0,38,30,0,30,8,38,30,0,30,8,0,0,0,0,5,,,,5,0,2013
MD-502,Harford County CoC,,189,111,66,0,177,12,78,45,21,0,66,12,111,66,45,111,0,36,18,18,36,0,30,25,0,25,5,23,18,0,18,5,7,7,7,0,10,,,,5,5,2012
MD-503,Annapolis/Anne Arundel County CoC,,384,251,82,0,333,51,225,159,15,0,174,51,159,92,67,159,0,50,28,22,50,0,73,42,0,42,31,69,38,0,38,31,4,4,4,0,18,11,7,0,18,0,2014
MD-503,Annapolis/Anne Arundel County CoC,,400,254,61,0,315,85,258,168,13,0,181,77,142,86,48,134,8,41,25,14,39,2,63,41,0,41,22,48,26,0,26,22,15,15,15,0,27,,,,18,9,2013
MD-503,Annapolis/Anne Arundel County CoC,,373,221,90,0,311,62,213,138,13,0,151,62,160,83,77,160,0,48,28,20,48,0,41,31,0,31,10,41,31,0,31,10,0,0,0,0,25,,,,25,0,2012
MD-504,Howard County CoC,,170,114,34,0,148,22,98,73,3,0,76,22,72,41,31,72,0,25,14,11,25,0,42,33,0,33,9,42,33,0,33,9,0,0,0,0,8,5,1,0,6,2,2014
MD-504,Howard County CoC,,194,93,46,0,139,55,93,40,2,0,42,51,101,53,44,97,4,31,16,14,30,1,39,9,0,9,30,39,9,0,9,30,0,0,0,0,9,,,,5,4,2013
